Epoch,delta_cache_hit_ratio,cache_composite_ln_epoch,AverageLatency(us),predicted_average_latency_us,regression_slope,regression_intercept,r_squared
30,0.8506336446119301,7.37416358644993,213.3883,196.6100573485618,14.612868654581211,88.85237342237346,0.939921429344473
31,0.8657395249300758,7.135013178194581,210.15475,193.1153838440369,14.612868654581211,88.85237342237346,0.939921429344473
32,0.8522710169789349,7.681073719133613,214.56833,201.09489480622855,14.612868654581211,88.85237342237346,0.939921429344473
33,0.866685574831767,7.429748696364886,218.99144,197.42231525889952,14.612868654581211,88.85237342237346,0.939921429344473
34,0.8702492359393103,7.480338530257212,223.05635,198.16157785682515,14.612868654581211,88.85237342237346,0.939921429344473
35,0.8639817405104229,7.832394888421181,227.98965,203.30613117768544,14.612868654581211,88.85237342237346,0.939921429344473
36,0.8581309833798866,8.182413228941872,237.13654,208.42090321440878,14.612868654581211,88.85237342237346,0.939921429344473
37,0.8489666101646656,8.653784163787812,245.03215,215.30898477289963,14.612868654581211,88.85237342237346,0.939921429344473
38,0.8418589453773094,9.071694523808594,248.70288,221.41585397327208,14.612868654581211,88.85237342237346,0.939921429344473
39,0.8208621091467778,9.993656683106888,247.92219,234.88836591159213,14.612868654581211,88.85237342237346,0.939921429344473
40,0.8253019530326761,10.032361296675301,248.21435,235.4539513459937,14.612868654581211,88.85237342237346,0.939921429344473
41,0.7988761893923871,11.212760536594876,259.20301,252.70297039890593,14.612868654581211,88.85237342237346,0.939921429344473
42,0.799957587537142,11.391758494292871,260.96253,255.31864404418502,14.612868654581211,88.85237342237346,0.939921429344473
43,0.8205773621523511,10.801529096911842,266.55638,246.69369938418342,14.612868654581211,88.85237342237346,0.939921429344473
44,0.8145917891834772,11.240531080430047,283.9645,253.10877770843558,14.612868654581211,88.85237342237346,0.939921429344473
45,0.7904114186023846,12.440315661572537,274.15849,270.6410722064625,14.612868654581211,88.85237342237346,0.939921429344473
46,0.7372642559452085,14.908564676983966,284.99903,306.7092708754691,14.612868654581211,88.85237342237346,0.939921429344473
47,0.7311717194140123,15.450048229481503,303.4826,314.62189890673164,14.612868654581211,88.85237342237346,0.939921429344473
48,0.7280576035934081,15.87169235854639,318.5169,320.7833291837321,14.612868654581211,88.85237342237346,0.939921429344473
49,0.7251418087261038,16.29017298262982,305.03741,326.8985315779505,14.612868654581211,88.85237342237346,0.939921429344473
50,0.76859897725337,14.576828018295227,300.13812,301.86164665414094,14.612868654581211,88.85237342237346,0.939921429344473
51,0.7531141545647052,15.552291654485051,313.6732,316.11596864710305,14.612868654581211,88.85237342237346,0.939921429344473
52,0.7088607343900277,17.940123335826172,314.1191,351.0090393757887,14.612868654581211,88.85237342237346,0.939921429344473
53,0.7108348938207779,18.147972658306088,306.69586,354.04631422513137,14.612868654581211,88.85237342237346,0.939921429344473
54,0.7205037668700773,17.96687462055003,341.12441,351.3999523857997,14.612868654581211,88.85237342237346,0.939921429344473
55,0.7112730155516515,18.730292103639673,338.30997,362.55567179479965,14.612868654581211,88.85237342237346,0.939921429344473
56,0.7034415306044911,19.43887384070061,330.04516,372.9100836495061,14.612868654581211,88.85237342237346,0.939921429344473
57,0.7583535245239846,16.839911280926373,357.08847,334.931785125351,14.612868654581211,88.85237342237346,0.939921429344473
58,0.7355334107069009,18.325653675527953,372.0004,356.6427435922069,14.612868654581211,88.85237342237346,0.939921429344473
59,0.7296313942298269,18.926847070661466,403.75146,365.4279037112947,14.612868654581211,88.85237342237346,0.939921429344473
60,0.7367295393818027,18.81265222048811,389.26254,363.7591893646818,14.612868654581211,88.85237342237346,0.939921429344473
61,0.7137486216808506,20.395464631925645,380.01455,386.8886192378594,14.612868654581211,88.85237342237346,0.939921429344473
62,0.7097476693145821,20.924868513229736,367.14898,394.62472862058166,14.612868654581211,88.85237342237346,0.939921429344473
63,0.7076207407587466,21.351661396351428,351.74794,400.86139696434896,14.612868654581211,88.85237342237346,0.939921429344473
64,0.6899580578403932,22.71213919319494,358.38194,420.7418803170972,14.612868654581211,88.85237342237346,0.939921429344473
65,0.6729095152431265,24.06986642341933,376.94148,440.5821700011146,14.612868654581211,88.85237342237346,0.939921429344473
66,0.6709417382600988,24.52885951015835,421.06841,447.28937569099264,14.612868654581211,88.85237342237346,0.939921429344473
67,0.675563903995835,24.577756993337292,398.56517,448.0039081902262,14.612868654581211,88.85237342237346,0.939921429344473
68,0.6798317383393635,24.639997051069496,398.79354,448.9134139789204,14.612868654581211,88.85237342237346,0.939921429344473
69,0.689453640516327,24.34691894830188,425.92576,444.6307021576433,14.612868654581211,88.85237342237346,0.939921429344473
70,0.7077888216446351,23.4618199260085,454.72286,431.69686639857196,14.612868654581211,88.85237342237346,0.939921429344473
71,0.6576848408656022,27.107876235135166,501.78209,484.97620835104703,14.612868654581211,88.85237342237346,0.939921429344473
72,0.661210457561077,27.220623416993018,534.92186,486.62376811071,14.612868654581211,88.85237342237346,0.939921429344473
73,0.6537059015286294,28.08416784535798,547.39065,499.2426294198027,14.612868654581211,88.85237342237346,0.939921429344473
74,0.6524567235001482,28.52641866943239,531.24091,505.70518262438225,14.612868654581211,88.85237342237346,0.939921429344473
75,0.6718575442656561,27.511421141432457,455.4293,490.87315706299466,14.612868654581211,88.85237342237346,0.939921429344473
76,0.6867989452510571,26.777623251191898,454.88498,480.1502648739006,14.612868654581211,88.85237342237346,0.939921429344473
77,0.6353102027327026,30.84077829277118,432.1639,539.524615819698,14.612868654581211,88.85237342237346,0.939921429344473
78,0.7145216484133342,25.3802741962631,492.63552,459.7309866696229,14.612868654581211,88.85237342237346,0.939921429344473
79,0.7029297173777852,26.539967071186584,520.86017,476.6774263305334,14.612868654581211,88.85237342237346,0.939921429344473
80,0.6325500738456266,32.16784536370634,524.1864,558.9168726230934,14.612868654581211,88.85237342237346,0.939921429344473
81,0.6358785996111236,32.28816960603439,569.96617,560.6751549721952,14.612868654581211,88.85237342237346,0.939921429344473
82,0.6395558993533457,32.374759544407446,539.6474,561.9404823684489,14.612868654581211,88.85237342237346,0.939921429344473
83,0.62410326247802,33.957242054020554,598.2797,585.0650914295974,14.612868654581211,88.85237342237346,0.939921429344473
84,0.6309948527032139,33.792254966271095,608.34401,582.6541567866126,14.612868654581211,88.85237342237346,0.939921429344473
85,0.6438138371249698,33.136064196826666,589.5482,573.0653272603726,14.612868654581211,88.85237342237346,0.939921429344473
86,0.6490955658148655,33.069078418519155,568.43275,572.0864728802401,14.612868654581211,88.85237342237346,0.939921429344473
87,0.6189213815066851,35.91788583139802,678.59197,613.7157214268361,14.612868654581211,88.85237342237346,0.939921429344473
88,0.6213596038650616,36.10239108928921,568.05341,616.4118725264799,14.612868654581211,88.85237342237346,0.939921429344473
89,0.6122310273290732,37.25952102366024,484.51202,633.3208602737278,14.612868654581211,88.85237342237346,0.939921429344473
90,0.6125996440073476,37.62261384148386,488.47014,638.6266879300063,14.612868654581211,88.85237342237346,0.939921429344473
91,0.6096483300718479,38.272039928798556,538.2308,648.1166660447944,14.612868654581211,88.85237342237346,0.939921429344473
92,0.6181278280436779,37.927283171985664,591.04825,643.0787808397082,14.612868654581211,88.85237342237346,0.939921429344473
93,0.6240178969908591,37.79475878346943,595.00856,641.1422193567919,14.612868654581211,88.85237342237346,0.939921429344473
94,0.6008173289214351,40.252861316971256,777.3592,677.0621488183473,14.612868654581211,88.85237342237346,0.939921429344473
95,0.6121590019788279,39.63259154510798,857.84701,667.9982281117022,14.612868654581211,88.85237342237346,0.939921429344473
96,0.6794199560080436,33.87679347068028,721.90078,583.8895068477988,14.612868654581211,88.85237342237346,0.939921429344473
97,0.603204546890285,41.248645414584495,831.95234,691.6134110450903,14.612868654581211,88.85237342237346,0.939921429344473
98,0.5985558171925609,42.08588887112601,716.97194,703.847939707439,14.612868654581211,88.85237342237346,0.939921429344473
99,0.592067283505404,43.10595906001595,753.78855,718.7540913961415,14.612868654581211,88.85237342237346,0.939921429344473
100,0.594121966972475,43.32383607189474,715.50714,721.9378995535789,14.612868654581211,88.85237342237346,0.939921429344473
