Epoch,p95_us,avg_us,Runtime(ms),Throughput(ops/sec),avg-run_duration_s,clean-run_duration_s,extend_duration_s,load_duration_s,reference_duration_s,run_duration_s,vacuum_duration_s,avg-run_delta_checkpoints_timed,clean-run_delta_checkpoints_timed,extend_delta_checkpoints_timed,load_delta_checkpoints_timed,reference_delta_checkpoints_timed,run_delta_checkpoints_timed,vacuum_delta_checkpoints_timed,avg-run_delta_checkpoints_req,clean-run_delta_checkpoints_req,extend_delta_checkpoints_req,load_delta_checkpoints_req,reference_delta_checkpoints_req,run_delta_checkpoints_req,vacuum_delta_checkpoints_req,avg-run_delta_checkpoint_write_time,clean-run_delta_checkpoint_write_time,extend_delta_checkpoint_write_time,load_delta_checkpoint_write_time,reference_delta_checkpoint_write_time,run_delta_checkpoint_write_time,vacuum_delta_checkpoint_write_time,avg-run_delta_checkpoint_sync_time,clean-run_delta_checkpoint_sync_time,extend_delta_checkpoint_sync_time,load_delta_checkpoint_sync_time,reference_delta_checkpoint_sync_time,run_delta_checkpoint_sync_time,vacuum_delta_checkpoint_sync_time,avg-run_delta_buffers_checkpoint,clean-run_delta_buffers_checkpoint,extend_delta_buffers_checkpoint,load_delta_buffers_checkpoint,reference_delta_buffers_checkpoint,run_delta_buffers_checkpoint,vacuum_delta_buffers_checkpoint,avg-run_delta_buffers_clean,clean-run_delta_buffers_clean,extend_delta_buffers_clean,load_delta_buffers_clean,reference_delta_buffers_clean,run_delta_buffers_clean,vacuum_delta_buffers_clean,avg-run_delta_buffers_backend,clean-run_delta_buffers_backend,extend_delta_buffers_backend,load_delta_buffers_backend,reference_delta_buffers_backend,run_delta_buffers_backend,vacuum_delta_buffers_backend,avg-run_delta_buffers_alloc,clean-run_delta_buffers_alloc,extend_delta_buffers_alloc,load_delta_buffers_alloc,reference_delta_buffers_alloc,run_delta_buffers_alloc,vacuum_delta_buffers_alloc,avg-run_delta_wal_bytes,clean-run_delta_wal_bytes,extend_delta_wal_bytes,load_delta_wal_bytes,reference_delta_wal_bytes,run_delta_wal_bytes,vacuum_delta_wal_bytes,avg-run_delta_wal_records,clean-run_delta_wal_records,extend_delta_wal_records,load_delta_wal_records,reference_delta_wal_records,run_delta_wal_records,vacuum_delta_wal_records,cycle_duration_s,cycle_delta_checkpoints_timed,cycle_delta_checkpoints_req,cycle_delta_checkpoint_write_time,cycle_delta_checkpoint_sync_time,cycle_delta_buffers_checkpoint,cycle_delta_buffers_clean,cycle_delta_buffers_backend,cycle_delta_buffers_alloc,cycle_delta_wal_bytes,cycle_delta_wal_records,is_p95_peak
11,279,185.52381,19151,5221.659443371103,17.63,17.439,194.347,,5.387,19.397,1.823,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,8.0,,0.0,0.0,0.0,0.0,0.0,150401.0,,0.0,0.0,0.0,0.0,0.0,193.0,,0.0,0.0,0.0,0.0,0.0,799648.0,,54.0,194.0,9656.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,52353.0,,0.0,0.0,1.0,0.0,588.0,23487.0,,0.0,0.0,1.0,0.0,0.0,4439485664.0,,0.0,0.0,96751525.0,0.0,0.0,5990802.0,,0.0,0.0,476898.0,289.038,0,9,202982,234,985366,0,52355,58723,4822451950,6871637,False
12,287,189.23245,19525,5121.638924455826,16.352,18.279,200.764,,5.295,19.765,1.31,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,,0.0,0.0,0.0,0.0,0.0,167421.0,,0.0,0.0,0.0,0.0,0.0,184.0,,0.0,0.0,0.0,0.0,0.0,820037.0,,53.0,198.0,17721.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,61178.0,,0.0,1.0,1.0,0.0,469.0,28425.0,,0.0,0.0,1.0,0.0,1868268.0,4712111459.0,,0.0,37325.0,134428538.0,0.0,18748.0,6091867.0,,0.0,391.0,775219.0,300.165,0,10,213361,251,1109022,0,61181,65285,5179992489,7305820,False
13,303,201.0615,20707,4829.284782923649,17.084,19.398,206.116,,5.47,20.956,1.222,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.0,,0.0,0.0,0.0,0.0,0.0,172029.0,,0.0,0.0,0.0,0.0,0.0,248.0,,0.0,0.0,0.0,0.0,0.0,1007010.0,,55.0,210.0,17598.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,64839.0,,0.0,1.0,1.0,0.0,257.0,30836.0,,0.0,0.0,1.0,0.0,1970002.0,5313849191.0,,0.0,37714.0,132566270.0,0.0,20144.0,6753745.0,,0.0,397.0,797847.0,309.73,0,11,222765,266,1304886,0,64842,71920,5799540492,8000782,False
14,310,210.61569,21670,4614.674665436087,19.877,20.199,206.063,,5.475,21.924,1.397,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.0,,0.0,0.0,0.0,0.0,0.0,163601.0,,0.0,0.0,0.0,0.0,0.0,249.0,,0.0,0.0,0.0,0.0,0.0,1002453.0,,0.0,0.0,8852.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,95750.0,,0.0,0.0,0.0,2.0,321.0,57335.0,,0.0,0.0,2.0,50.0,0.0,5528791399.0,,0.0,0.0,126428968.0,1.0,0.0,7084456.0,,0.0,0.0,936612.0,318.918,0,11,198460,301,1348542,0,95754,100181,6025505437,8461025,False
15,334,221.6452,22768,4392.129304286718,18.744,20.794,211.676,,5.52,23.015,2.672,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,11.0,,0.0,0.0,0.0,0.0,0.0,175435.0,,0.0,0.0,0.0,0.0,0.0,442.0,,0.0,0.0,0.0,0.0,0.0,1017271.0,,55.0,230.0,24121.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,63917.0,,0.0,0.0,101.0,0.0,155.0,23485.0,,0.0,0.0,1.0,0.0,2163124.0,5889943567.0,,0.0,50.0,185393644.0,0.0,22883.0,7420944.0,,0.0,1.0,1107087.0,329.179,0,12,238382,449,1418293,0,64019,72665,6462764081,8997551,False
16,346,233.92672,24014,4164.237528108603,19.393,21.94,213.672,,5.469,24.26,4.445,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,12.0,,0.0,0.0,0.0,0.0,0.0,179409.0,,0.0,0.0,0.0,0.0,0.0,2878.0,,0.0,0.0,0.0,0.0,0.0,1113015.0,,54.0,35762.0,22389.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,152279.0,,0.0,1.0,4.0,0.0,156.0,105784.0,,0.0,0.0,4.0,0.0,2255990.0,6253599803.0,,0.0,26418.0,291671987.0,0.0,24258.0,7657338.0,,0.0,427.0,1440809.0,342.134,0,13,247251,2920,1640327,0,152286,156353,6957481157,9576695,False
17,371,245.97861,25246,3961.023528479759,20.081,23.818,231.609,,5.48,25.498,3.727,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,12.0,,0.0,1.0,0.0,0.0,0.0,188665.0,,0.0,0.0,17096.0,0.0,0.0,72.0,,0.0,0.0,3.0,0.0,0.0,1203688.0,,54.0,97021.0,12335.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,47848.0,,0.0,102.0,1.0,0.0,158.0,305.0,,0.0,0.0,1.0,50.0,2349353.0,6563323451.0,,50.0,38570.0,297294645.0,1.0,25636.0,8236766.0,,1.0,417.0,1315132.0,356.891,0,14,261291,89,1668865,0,47952,51973,7289682798,10045387,False
18,376,252.55627,25870,3865.4812524159256,22.958,23.966,239.645,,5.667,26.127,3.656,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,13.0,,0.0,0.0,0.0,0.0,0.0,199396.0,,0.0,0.0,0.0,0.0,0.0,99.0,,0.0,0.0,0.0,0.0,0.0,1341783.0,,0.0,0.0,20028.0,0.0,0.0,0.0,,2400.0,0.0,0.0,0.0,0.0,53364.0,,0.0,0.0,1.0,2.0,710.0,4430.0,,1359.0,0.0,6.0,1514382.0,50.0,7016875442.0,,0.0,26879.0,243740428.0,25328.0,1.0,8754257.0,,0.0,434.0,1397810.0,376.523,0,14,243897,155,1852930,3016,53471,60335,7716282433,10677336,False
19,391,262.80438,26912,3715.8145065398335,25.402,25.145,250.932,,5.428,27.17,4.288,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,14.0,,0.0,0.0,0.0,0.0,0.0,214640.0,,0.0,0.0,0.0,0.0,0.0,142.0,,0.0,0.0,0.0,0.0,0.0,1376122.0,,54.0,33084.0,23244.0,0.0,0.0,19.0,,2700.0,13500.0,18.0,0.0,0.0,86829.0,,0.0,5751.0,3852.0,3.0,490.0,289523.0,,1559.0,101.0,242.0,2014226.0,67147.0,7387446548.0,,0.0,50.0,305237209.0,33661.0,436.0,9131585.0,,0.0,1.0,1554013.0,394.819,0,15,291362,165,1922372,18780,96448,366505,8189644882,11431044,False
20,411,271.92387,27816,3595.053206787461,23.747,25.569,240.928,,5.699,28.077,9.261,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,15.0,,0.0,0.0,0.0,0.0,0.0,205842.0,,0.0,0.0,0.0,0.0,0.0,2832.0,,0.0,0.0,0.0,0.0,0.0,1467319.0,,57.0,280.0,40528.0,0.0,9.0,2185.0,,2800.0,14000.0,3415.0,0.0,0.0,157189.0,,0.0,0.0,74504.0,16.0,162.0,507741.0,,1666.0,15.0,898.0,50.0,2622986.0,7802077379.0,,0.0,50.0,325375018.0,1.0,29795.0,9555606.0,,0.0,1.0,1701980.0,391.057,0,16,285099,2874,2003495,31680,234877,593428,8657236731,12014107,False
21,427,284.23595,29041,3443.407596157157,24.617,26.572,260.315,,5.52,29.305,7.195,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,16.0,,0.0,0.0,0.0,0.0,0.0,225030.0,,0.0,0.0,0.0,0.0,0.0,6646.0,,0.0,0.0,0.0,0.0,0.0,1382154.0,,55.0,293.0,29691.0,0.0,285.0,5333.0,,183.0,0.0,1305.0,0.0,0.0,261452.0,,0.0,0.0,160053.0,7.0,59.0,542460.0,,1665.0,0.0,1162.0,2014235.0,50.0,8309696007.0,,0.0,50.0,228197445.0,33661.0,1.0,10293253.0,,0.0,1.0,1708160.0,412.563,0,17,300519,6672,1918283,7346,421529,627281,9104060326,12779549,False
22,432,287.17422,29337,3408.6648259876606,24.364,28.341,269.352,,5.542,29.601,8.722,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,16.0,,0.0,0.0,0.0,0.0,0.0,234936.0,,0.0,0.0,0.0,0.0,0.0,5463.0,,0.0,0.0,0.0,0.0,0.0,1567171.0,,55.0,9224.0,36623.0,0.0,645.0,30.0,,617.0,0.0,59.0,0.0,0.0,208081.0,,0.0,786.0,167579.0,4.0,938.0,520735.0,,1665.0,0.0,314.0,2037371.0,2793979.0,8808564653.0,,0.0,50.0,280687680.0,34093.0,32516.0,10759070.0,,0.0,1.0,1700995.0,425.215,0,18,310809,5480,2101362,1412,376548,609282,9671692889,13284220,False
23,458,307.85518,31425,3182.1797931583133,26.929,28.674,276.652,,5.462,31.68,13.89,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,17.0,,0.0,0.0,1.0,0.0,0.0,235038.0,,0.0,0.0,15567.0,0.0,0.0,143.0,,0.0,0.0,945.0,2877.0,0.0,1793451.0,,54.0,82507.0,120216.0,0.0,52.0,3442.0,,2573.0,14850.0,5700.0,5.0,0.0,74926.0,,0.0,2509.0,101144.0,3.0,393.0,416592.0,,1666.0,206.0,794.0,2026357.0,50.0,9111665319.0,,0.0,50.0,438742375.0,33661.0,1.0,11152658.0,,0.0,1.0,1765341.0,433.743,0,20,318424,1105,2341178,30956,247514,515071,10135830959,13714750,False
24,467,309.16684,31569,3167.6644809781747,27.742,29.68,291.908,,5.534,31.825,34.94,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,17.0,,0.0,0.0,1.0,0.0,0.0,275801.0,,0.0,0.0,21967.0,0.0,0.0,4600.0,,0.0,0.0,7992.0,2279.0,0.0,1777130.0,,55.0,71747.0,163574.0,0.0,2.0,918.0,,2700.0,15400.0,6811.0,5.0,0.0,169630.0,,0.0,413.0,364509.0,3.0,619.0,547233.0,,1666.0,79.0,3948.0,2026298.0,50.0,9671791203.0,,0.0,50.0,465147905.0,33660.0,1.0,11661879.0,,0.0,1.0,2040200.0,480.009,0,20,381341,12614,2366109,37129,602417,648642,10754167873,14515552,False
25,487,328.4427,33490,2985.965959988056,28.197,30.524,273.193,,5.464,33.735,46.428,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,17.0,,0.0,0.0,1.0,0.0,0.0,254243.0,,0.0,0.0,27047.0,0.0,0.0,9946.0,,0.0,0.0,8185.0,610.0,0.0,1828982.0,,55.0,123166.0,127046.0,0.0,0.0,2295.0,,2500.0,16400.0,11298.0,5.0,0.0,299677.0,,0.0,1711.0,473946.0,3.0,83.0,668406.0,,1666.0,1524.0,1129.0,2026348.0,50.0,9484506592.0,,0.0,50.0,628410083.0,33661.0,1.0,11293128.0,,0.0,1.0,2681106.0,472.077,0,20,368135,18184,2407023,43834,849515,789563,10756050921,14801678,False
26,488,329.84382,33613,2975.039419272305,27.67,31.238,294.41,,5.605,33.863,21.558,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,18.0,,0.0,0.0,1.0,0.0,0.0,282317.0,,0.0,0.0,14600.0,0.0,0.0,2984.0,,0.0,0.0,27.0,343.0,0.0,1984772.0,,55.0,75389.0,154851.0,0.0,0.0,3443.0,,2500.0,16500.0,3581.0,6.0,0.0,94645.0,,0.0,5407.0,200975.0,4.0,988.0,748326.0,,1666.0,2593.0,1481.0,3133518.0,3155460.0,10144110182.0,,0.0,41241.0,507717223.0,37137.0,38121.0,12375135.0,,0.0,457.0,2112582.0,464.616,0,21,374054,3034,2516938,33523,374896,866130,11310103164,15368030,False
27,502,349.89661,35616,2807.726864330638,29.838,32.037,292.203,,5.584,35.864,49.153,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,19.0,,0.0,0.0,0.0,0.0,0.0,285267.0,,0.0,0.0,0.0,0.0,0.0,8179.0,,0.0,0.0,0.0,388.0,0.0,1717393.0,,56.0,358.0,38193.0,0.0,0.0,3157.0,,2500.0,17800.0,11900.0,5.0,0.0,183522.0,,0.0,1.0,699503.0,3.0,583.0,803181.0,,1666.0,156.0,1828.0,2272260.0,50.0,10452635474.0,,0.0,28444.0,319093554.0,37829.0,1.0,12416445.0,,0.0,462.0,2520643.0,509.486,0,21,412706,8193,2237721,50166,959685,938271,11476330593,15801991,False
28,504,333.73771,34024,2939.1018104867157,30.64,32.623,312.061,,5.391,34.277,49.453,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,20.0,,0.0,0.0,0.0,0.0,0.0,302173.0,,0.0,0.0,0.0,0.0,0.0,13505.0,,0.0,0.0,0.0,394.0,0.0,1760547.0,,54.0,342.0,42823.0,0.0,0.0,3055.0,,2300.0,17000.0,15819.0,5.0,0.0,370045.0,,1.0,0.0,638840.0,3.0,868.0,856655.0,,1567.0,188.0,2600.0,2272201.0,50.0,10824479216.0,,40327.0,50.0,457651348.0,37828.0,1.0,12773797.0,,439.0,1.0,2731250.0,531.707,0,22,429395,13524,2294064,50640,1091726,994918,11989960205,16375106,False
29,533,353.27492,35955,2781.254345709915,30.108,33.884,326.324,,5.552,36.201,48.644,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,20.0,,0.0,0.0,1.0,0.0,0.0,307266.0,,0.0,0.0,14912.0,0.0,0.0,12222.0,,0.0,0.0,4545.0,456.0,0.0,1763407.0,,55.0,361.0,99465.0,0.0,0.0,3855.0,,2700.0,17700.0,17761.0,5.0,0.0,437267.0,,0.0,1.0,597967.0,3.0,534.0,918952.0,,1559.0,97.0,1964.0,3656832.0,3114431.0,11259449653.0,,0.0,33879.0,529498108.0,50636.0,42079.0,13311831.0,,0.0,330.0,2773352.0,544.495,0,23,440979,16787,2327358,51403,1130121,1066655,12516259755,17023388,False
30,547,362.5592,36909,2709.366279227289,30.583,35.75,324.63,,6.399,37.169,75.24,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,21.0,,0.0,0.0,1.0,0.0,0.0,317020.0,,0.0,0.0,30568.0,0.0,0.0,4826.0,,0.0,0.0,8326.0,463.0,0.0,1873881.0,,64.0,36670.0,196384.0,0.0,0.0,8187.0,,3100.0,18300.0,20407.0,5.0,0.0,223574.0,,0.0,1563.0,887263.0,3.0,867.0,981791.0,,1666.0,193.0,1925.0,3480275.0,3014858.0,11728101131.0,,0.0,28245.0,564040692.0,50547.0,43337.0,13809749.0,,0.0,244.0,2813583.0,573.897,0,24,464984,13171,2559814,61099,1205854,1129632,13054070612,17579721,False
31,560,382.68871,38825,2575.6600128783,33.992,36.037,322.463,,5.688,39.103,69.451,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,22.0,,0.0,0.0,0.0,0.0,0.0,311155.0,,0.0,0.0,55390.0,0.0,0.0,15421.0,,0.0,0.0,7980.0,339.0,0.0,2089568.0,,10775.0,73256.0,37284.0,0.0,0.0,1686.0,,2700.0,19300.0,18550.0,0.0,0.0,314821.0,,0.0,1.0,784311.0,0.0,52.0,1029140.0,,1666.0,123.0,6027.0,50.0,50.0,12093953779.0,,0.0,24661.0,356877985.0,1.0,1.0,14231960.0,,0.0,177.0,2965937.0,568.961,0,25,440231,23422,2620812,50992,1421750,1184405,13246401961,18121507,False
32,575,384.53335,39038,2561.60663968441,34.705,37.08,331.554,,5.583,39.296,84.763,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,23.0,,0.0,0.0,1.0,0.0,0.0,329370.0,,0.0,0.0,40539.0,0.0,0.0,7802.0,,0.0,0.0,9789.0,475.0,0.0,2074359.0,,49.0,85127.0,146528.0,0.0,3.0,7845.0,,2600.0,19000.0,23684.0,4.0,0.0,228218.0,,1.0,3950.0,1066554.0,3.0,190.0,1096923.0,,1669.0,639.0,7578.0,3249254.0,2952564.0,12577448618.0,,21318.0,50.0,584109834.0,50439.0,45997.0,14670606.0,,130.0,1.0,3179647.0,587.133,0,26,462992,17611,2626017,55055,1400567,1258286,13967747040,18833558,False
